Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Agora-Hochtemperatur WP,,OPEX,Additional OPEX,,,,,3,,€/MWh_heat,,85 °C,Agora P2H-rechner,
Agora-Höchsttemperatur WP,,OPEX,Additional OPEX,,,,,3,,€/MWh_heat,,180 °C; 4 bar,Agora P2H-rechner,
Agora-Dampfkessel+5%E,,OPEX,Additional OPEX,,,,,5.85,,€/MWh_heat,,,Agora P2H-rechner,
Agora-Elektrodenkessel+5%E,,OPEX,Additional OPEX,,,,,3,,€/MWh_heat,,,Agora P2H-rechner,
Agora-Hochtemperatur WP+5%E,,OPEX,Additional OPEX,,,,,3,,€/MWh_heat,,,Agora P2H-rechner,
Agora-Höchsttemperatur WP+5%E,,OPEX,Additional OPEX,,,,,3,,€/MWh_heat,,,Agora P2H-rechner,
Agora-Dampfkessel-5%E,,OPEX,Additional OPEX,,,,,5.85,,€/MWh_heat,,,Agora P2H-rechner,
Agora-Elektrodenkessel-5%E,,OPEX,Additional OPEX,,,,,3,,€/MWh_heat,,,Agora P2H-rechner,
Agora-Hochtemperatur WP-5%E,,OPEX,Additional OPEX,,,,,3,,€/MWh_heat,,,Agora P2H-rechner,
Agora-Höchsttemperatur WP-5%E,,OPEX,Additional OPEX,,,,,3,,€/MWh_heat,,,Agora P2H-rechner,
