Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Heatpump for DAC,,High CAPEX,CAPEX,,,2025,,76.37,,USD_2005,,,Posted Tech|Heatpump for DAC,
Heatpump for DAC,,Energy demand,Electricity,,,2025,,0.0006129,,MWh,,,Posted Tech|Heatpump for DAC,
Heatpump for DAC,,OPEX,Additional OPEX,,,2025,,3.4,,USD_2005,,,Posted Tech|Heatpump for DAC,
