Technology,Reference Technology
Standard (w/o CC),Standard (w/o CC)
Integrated CaL (w/ CC),Standard (w/o CC)
Tail-end CaL 20% IL (w/ CC),Standard (w/o CC)
Tail-end CaL 50% IL (w/ CC),Standard (w/o CC)
