Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Reported value,Reported uncertainty,Reported unit,Non-unit conversion factor,Used value,Used uncertainty,Used unit,Value and uncertainty comment,Source reference,Source comment
Agora-Oxyfuel-Drehrohrofen-5%E,,Energy demand,Coking Coal,,,,,1.008,,t/t RS,,1.008,,t/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Energy demand,Coking Coal,,,,,0.3255,,t/t RS,,0.3255,,t/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen,,Energy demand,Injection Carbon,,,,,0,,t/t RS,,0,,t/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen+5%E,,Energy demand,Injection Carbon,,,,,0,,t/t RS,,0,,t/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,Energy demand,Injection Carbon,,,,,0,,t/t RS,,0,,t/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,Energy demand,Injection Carbon,,,,,0,,t/t RS,,0,,t/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Energy demand,Injection Carbon,,,,,0,,t/t RS,,0,,t/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen,,OPEX,Additional OPEX,,,,,29.78,,€/t RS,,29.78,,€/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen ,,OPEX,Additional OPEX,,,,,100,,€/t RS,,100,,€/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen,,OPEX,Additional OPEX,,,,,47.56,,€/t RS,,47.56,,€/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen+5%E,,OPEX,Additional OPEX,,,,,20,,€/t RS,,20,,€/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen+5%E,,OPEX,Additional OPEX,,,,,75,,€/t RS,,75,,€/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen+5%E,,OPEX,Additional OPEX,,,,,75,,€/t RS,,75,,€/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,OPEX,Additional OPEX,,,,,20,,€/t RS,,20,,€/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,OPEX,Additional OPEX,,,,,51.49,,€/t RS,,51.49,,€/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,OPEX,Additional OPEX,,,,,38.96,,€/t RS,,38.96,,€/t RS,,Agora Zementrechenr,
