Source Reference,Component,Scenario,Unit,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ad-hoc guess,Injection Coal,70 steady,€/MWh,,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
VdKI (2023),Injection Coal,OL_scrap_base_icoal,€/t,150,109,156,372,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Agora Stahlrechner,Iron Ore,Eisenerz Agora,€/t,,,,,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
,Iron Ore,Zero_Dummy-ERZ,€/t,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Preise historisch DERA und ab 2025 bis 2035 Preisprognosen danach fix,Iron Ore,OL_scrap_base_iore,€/t,109,109,109,96,83.55,100.8,90.16,89.88,89.61,89.33,89.06,88.78,88.5,88.23,87.95,87.68,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4
https://www.finanzen.net/rohstoffe/naphthapreis,Naphta,Naphta a),€/t,,,,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
Erdgas TTF (Preisbasis September),Natural Gas,KSV-Base-Erdgas,€/MWh,,,,199.51,185.43,116.27,79.94,53.28,43.6,43.44,44.27,44.32,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
Ad-hoc guess,Natural Gas,40 steady,€/MWh,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,
Projektionsbericht Rahmendaten 2024_(2022) 2019-2021 DESTATIS ex post nicht-haushalte,Natural Gas,OL_scrap_base_ngas,€/MWh,38.7,33,46.8,83.8,57.7,56.3,48.0,37.1,31.5,28.6,25.7,22.8,22.6,22.4,22.2,22.0,21.9,21.7,21.5,21.3,21.1,20.9,20.7,20.5,20.3,20.1,19.9,19.7,19.5,19.3,19.2,19.0
,Scrap Steel,Zero_Dummy_Scrap,€/t,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
BDSV_Schrottsorte4_Schredderschrott_2025,Scrap Steel,Schredderschrott_BDSV,€/t,,0,0,0,0,0,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
Base_Historisch BDSV ab 2026 langjähriger Durchschnitt fixiert,Scrap Steel,OL_scrap_base_scrap,€/t,215.1,205.1,354.6,366.8,322.7,315.2,272.2,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3,260.3
Aktueller Preis Straits Research und dann Halbierung bis 2050 eigene Annahme,Biomass,OL_scrap_base_biomass,€/t,386,386,386,386,386,386,386,377.92,369.84,361.76,353.68,345.6,337.52,329.44,321.36,313.28,305.2,297.12,289.04,280.96,272.88,264.8,256.72,248.64,240.56,232.48,224.4,216.32,208.24,200.16,192.08,184


